id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,live_energy,lyrical_depth,instrumentalness,spotify_id
157,Phyu Nee Pyar War,Artists Group,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,3LxCmKWbojtE51UNma2rwH
158,Here With Me,d4vd,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,5LrN7yUQAzvthd4QujgPFr
159,Ta Khar Hte` Chit Chin Lo Par - Remix,Chan Chan,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,4b9kG9FqsseHLmV1Y4RBcE
160,Ma Mae Nae,X-Boxin,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,0OjMmRy398FIXkAbrgdhDp
161,The Old You,Shine,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,3SUoK7VT43COgKXc8JhusQ
162,Sun,Derik Fein,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,7Hybzi2nMsBsg2Fs2aKUh7
163,I’m Just Sayin,Yair Yint Aung,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,2u2PlGxhJcTkFPeJeYoXzS
164,Lay Low,Tiësto,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,0zKbDrEXKpnExhGQRe9dxt
165,Chit Tay Than Thar,Shine,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,1N8JegaXfcbG9iUY6OdTC1
166,Too Sweet,Hozier,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,5Z0UnEtpLDQyYlWwgi8m9C
167,Min Atwat Ngar - Myanmar Version,Shine,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,73JDN3fMpVr71C9pRPjKiK
168,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,3ScJy88F8KqGDfWu8XJhHx
169,1990,Shine,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,0Kqfu0rtnRy4YmqapziBmI
170,Way Nay Tae Tha Chin,R Zar Ni,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,6JxM14Wsk99J86q1HRxJVG
171,Always Love featuring Hyunjin (Stray Kids),d4vd,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,1WKafez8TM4dVYlSsxi6dS
172,浪子回頭,EggPlantEgg,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,301mxTHzMyFOVUXl6U22sf
173,Phyat,R Zar Ni,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,4VO8VIV74jl2bQ1bX19URb
174,死ぬのがいいわ,Fujii Kaze,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,0HYAsQwJIO6FLqpyTeD3l6
175,Which One (feat. Central Cee),Drake,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,5FMyXeZ0reYloRTiCkPprT
176,El Thae,Tin Zar Maw,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,2fp97rUb2Em72OBs2EQRQP
177,Disco Marathon - Extended Mix,Don Diablo,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,196vIZXLPKpDWblsjEgEez
178,Shouldn't Be,Luke Chiang,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,7F6PtLP6fJPVtA1FWVkl8K
179,Mystical Magical,Benson Boone,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,221eHga9f9Ne4f8D7WVgPT
180,Min Yae Ah Yate Kalay,Chan Chan,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,17RoarrQ3F6Y2MLEWgX0fZ
181,အချစ်စွမ်းအင်,Zaw Win Htut,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,4htCXyNo67agUVNuSnZ8Qc
182,Big Dawgs,Hanumankind,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,0OA00aPt3BV10qeMIs3meW
183,luther (with sza),Kendrick Lamar,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,2CGNAOSuO1MEFCbBRgUzjd
184,I Never Loved You,Halsey,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,5P4GzuYKBAYCdNtcBx5K6l
185,Guess featuring billie eilish,Charli xcx,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,7qbJ4Dh8xuYUFdAWL8SFPK
186,End of Beginning,Djo,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,3qhlB30KknSejmIvZZLjOD
187,Sprinter,Dave,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,2FDTHlrBguDzQkp7PVj16Q
188,Lose Yourself,Eminem,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,1v7L65Lzy0j0vdpRjJewt1
189,SPOT!,ZICO,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,1SS0WlKhJewviwEDZ6dWj0
190,QUARTER LIFE CRISIS,Taylor Bickett,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,5qM8NWUsRQ1xztraiBgn0g
191,Faraway so Close,Thar Nge,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,1Jna7Y7CpVOgWTsdWcEQt4
192,I Like You So Much You’ll Know It,Ysabelle Cuevas,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,7x0Kb4S3ZjTJ4cJ5oPlG54
193,Way Thwar Tae A Khar,Htoo Eain Thin,pop,chill,0.5,100,0.5,0.5,0.5,50,1980,,0.5,0.5,0.5,49Xm9QBEBVue7BXbUyqt8B
194,Tip Toe,HYBS,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,0MJ5wKsPEeihONNfugHGy7
195,It's not beautiful and it doesn't hurt,Wonstein,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,0tS9IeWNCqTjpuYd2iQtSt
196,敢傻敢衝 - 2020黑松沙士年度主題曲,EggPlantEgg,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,3V0psPzZ73wCDh4BmM7izM
197,Lace It (with Eminem & benny blanco),Juice WRLD,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,4qmG24ebshLXtKu9HIShBP
198,Yann,The Zero,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,22C8EQboG9oseuSLbZKd3M
199,1 9 9 0,Shine,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,5oHTkBmhowxQ0onNy7NfMv
200,Kill Bill,SZA,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,3OHfY25tqY28d16oZczHc8
201,Double Fantasy (with Future),The Weeknd,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,4VMRsbfZzd3SfQtaJ1Wpwi
202,lowkey,NIKI,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,5TTXEcfsYLh6fTarLaevTi
203,有些,颜人中,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,3V2v19gDm4rmRkMwcgS4X2
204,Sharks,Imagine Dragons,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,0TyUOnU4H4GLqOcrH0auc8
205,Lo Ta Ya,Reason,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,2tVth3JhdiMyM6NQS4N6NZ
206,Ma Sone Thaw Lan,Zaw Paing,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,5ItSFXJWa9923Pg3cYyJnT
207,Angels Like You,Miley Cyrus,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,1daDRI9ahBonbWD8YcxOIB
208,Seven (feat. Latto),Jung Kook,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,7x9aauaA9cu6tyfpHnqDLo
209,アイドル,YOASOBI,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,7ovUcF5uHTBRzUpB6ZOmvt
210,Lost Me,GIVĒON,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,6TSO4hwz9WGrEUY7ABGVim
211,You’re Not There,Johnny Stimson,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,7ltr1P3d4djxu3BoR6S1eX
212,drunk text,Henry Moodie,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,0KpWiHVmIFDTvai20likX4
213,Eastside (with Halsey & Khalid),benny blanco,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,7FGq80cy8juXBCD2nrqdWU
214,NIGHT DANCER,imase,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,3gmn76fCtpDazGMnN0QMHX
215,Grenade,Bruno Mars,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,2tJulUYLDKOg9XrtVkMgcJ
216,When I Was Your Man,Bruno Mars,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,0nJW01T7XtvILxQgC5J7Wh
217,River (feat. Ed Sheeran),Eminem,hip-hop,motivated,0.75,85,0.6,0.7,0.1,50,2010,powerful|inspiring|emotional,0.8,0.85,0.0,1cS0TgbR263ey9jn0MwD2s
218,Godzilla (feat. Juice WRLD),Eminem,hip-hop,intense,0.9,160,0.5,0.65,0.05,50,2020,fast-paced|aggressive|dynamic,0.85,0.9,0.0,7FIWs0pqAYbP91WWM0vlTQ
219,All to Myself,Future,hip-hop,romantic,0.7,120,0.55,0.75,0.15,50,2020,smooth|seductive|catchy,0.7,0.8,0.0,0lOQaZwX9AkAiSvObh4G70
220,Gasoline,The Weeknd,pop,moody,0.8,120,0.4,0.6,0.05,50,2020,dark|sultry|introspective,0.75,0.7,0.0,3KyKxJ4P3pVCgaZwaq2rUC
221,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,hip-hop,intense,0.85,140,0.45,0.7,0.1,50,2020,edgy|dramatic|catchy,0.8,0.75,0.0,2dHHgzDwk4BJdRwy9uXhTO
222,Call Out My Name,The Weeknd,pop,sad,0.65,90,0.5,0.55,0.2,50,2010,heartfelt|emotional|soulful,0.65,0.85,0.0,09mEdoA6zrmBPgTEN5qXmN
223,Can't Feel My Face,The Weeknd,pop,joyful,0.85,108,0.7,0.8,0.05,50,2010,upbeat|catchy|danceable,0.9,0.6,0.0,22VdIZQfgXJea34mQxlt81
224,The Hills,The Weeknd,pop,moody,0.9,113,0.4,0.65,0.1,50,2010,dark|intense|atmospheric,0.85,0.8,0.0,7fBv7CLKzipRk6EC6TWHOB
225,Moth To A Flame (with The Weeknd),Swedish House Mafia,electronic,energetic,0.8,124,0.65,0.75,0.05,50,2020,uplifting|danceable|catchy,0.8,0.7,0.0,0VO8gYVDSwM1Qdd2GsMoYK
226,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,pop,romantic,0.7,100,0.6,0.7,0.1,50,2020,smooth|catchy|seductive,0.75,0.65,0.0,7CyPwkp0oE8Ro9Dd5CUDjW
227,Blinding Lights,The Weeknd,pop,joyful,0.9,171,0.8,0.85,0.02,50,2020,upbeat|catchy|danceable,0.9,0.7,0.0,0VjIjW4GlUZAMYd2vXMi3b
228,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,pop,energetic,0.75,120,0.65,0.7,0.05,50,2020,upbeat|catchy|dynamic,0.75,0.65,0.0,6WzRpISELf3YglGAh7TXcG
229,Die For You - Remix,The Weeknd,pop,romantic,0.7,95,0.6,0.65,0.15,50,2020,smooth|emotional|catchy,0.7,0.75,0.0,7oDd86yk8itslrA9HRP2ki
230,Save Your Tears,The Weeknd,pop,sad,0.8,118,0.7,0.75,0.1,50,2020,heartfelt|catchy|emotional,0.8,0.7,0.0,5QO79kh1waicV47BqGRL3g
231,Cry For Me,The Weeknd,pop,sad,0.75,110,0.55,0.65,0.15,50,2020,heartfelt|emotional|soulful,0.75,0.7,0.0,3AWDeHLc88XogCaCnZQLVI
232,Timeless (feat. Playboi Carti & Doechii) - Remix,The Weeknd,pop,energetic,0.8,130,0.65,0.75,0.1,50,2020,upbeat|catchy|dynamic,0.8,0.7,0.0,7kJyHFVVZMv1wQYRU9de9d
233,One Last Time,Ariana Grande,pop,romantic,0.7,120,0.6,0.7,0.15,50,2010,catchy|emotional|heartfelt,0.75,0.7,0.0,7xoUc6faLbCqZO6fQEYprd
234,Company,Justin Bieber,pop,romantic,0.65,90,0.55,0.65,0.2,50,2010,smooth|catchy|seductive,0.65,0.7,0.0,61uyGDPJ06MkxJtHgPmuyO
235,What Lovers Do (feat. SZA),Maroon 5,pop,romantic,0.7,100,0.65,0.75,0.1,50,2010,smooth|catchy|upbeat,0.7,0.65,0.0,0GxQ1A5L9xnMOytbP6eKBG
236,Min Net Pat Thet Yin,IDIOTS,pop,chill,0.6,110,0.55,0.65,0.15,50,2010,laid-back|smooth|catchy,0.6,0.6,0.0,20SaBm6Mwed04IHoSfzrs5
237,All We Know (feat. Phoebe Ryan),The Chainsmokers,pop,romantic,0.7,100,0.6,0.7,0.15,50,2010,smooth|catchy|emotional,0.7,0.65,0.0,2rizacJSyD9S1IQUxUxnsK
238,I Need You,Reynard Silva,pop,romantic,0.65,95,0.55,0.65,0.2,50,2010,smooth|catchy|emotional,0.65,0.7,0.0,54fO6i2qmfjmPjGZyTPksq
239,Locked out of Heaven,Bruno Mars,pop,joyful,0.85,144,0.75,0.8,0.05,50,2010,upbeat|catchy|danceable,0.9,0.65,0.0,3w3y8KPTfNeOKPiqUTakBh
240,Bad Things (with Camila Cabello),mgk,pop,energetic,0.75,120,0.6,0.7,0.1,50,2010,upbeat|catchy|dynamic,0.75,0.65,0.0,1PSBzsahR2AKwLJgx8ehBj
241,Chain,The Zero,rock,intense,0.8,130,0.55,0.65,0.1,50,2010,powerful|dynamic|catchy,0.8,0.7,0.0,77UCcUMG9V6Q3tpK377DdS
242,Better Now,Post Malone,pop,sad,0.7,90,0.65,0.7,0.15,50,2010,heartfelt|emotional|catchy,0.7,0.65,0.0,7dt6x5M1jzdTEt8oCbisTK
243,Tired,Alan Walker,electronic,chill,0.6,100,0.5,0.6,0.2,50,2010,laid-back|smooth|melodic,0.6,0.65,0.0,3b5Li4QKDVBx1x7fQuu54a
244,Somebody Else,The 1975,indie pop,sad,0.65,120,0.55,0.65,0.15,50,2010,heartfelt|emotional|melancholic,0.65,0.7,0.0,4m0q0xQ2BNl9SCAGKyfiGZ
245,Everyday,Ariana Grande,pop,joyful,0.7,120,0.6,0.7,0.15,50,2010,upbeat|catchy|danceable,0.7,0.65,0.0,30TmLgK0ja5O8q9l4BShIX
246,They Don't Know About Us,One Direction,pop,romantic,0.65,100,0.6,0.65,0.15,50,2010,smooth|catchy|emotional,0.65,0.6,0.0,6M31fPFCYB8Job3MCjjrDV
247,Scared to Be Lonely,Martin Garrix,electronic,sad,0.7,100,0.55,0.65,0.15,50,2010,heartfelt|emotional|melancholic,0.7,0.65,0.0,3ebXMykcMXOcLeJ9xZ17XH
248,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,hip-hop,energetic,0.85,100,0.7,0.8,0.05,50,2010,upbeat|catchy|dynamic,0.85,0.65,0.0,3DXncPQOG4VBw3QHh3S817
249,Take Care,JCZ,pop,chill,0.6,90,0.5,0.6,0.2,50,2020,laid-back|smooth|melodic,0.6,0.65,0.0,36PD44qtxMg86AMLKgxNyo
250,Takeaway,The Chainsmokers,pop,sad,0.7,120,0.6,0.7,0.15,50,2010,heartfelt|emotional|melancholic,0.7,0.65,0.0,3g0mEQx3NTanacLseoP0Gw
251,Thinking out Loud,Ed Sheeran,pop,romantic,0.65,79,0.7,0.6,0.3,50,2010,smooth|heartfelt|emotional,0.65,0.8,0.0,34gCuhDGsG4bRPIf9bb02f
252,Just the Way You Are,Bruno Mars,pop,joyful,0.7,109,0.8,0.75,0.1,50,2010,upbeat|catchy|romantic,0.75,0.65,0.0,7BqBn9nzAq8spo5e7cZ0dJ
253,သူစိမ်း,Big Bag,pop,chill,0.6,100,0.55,0.65,0.2,50,2010,laid-back|smooth|melodic,0.6,0.6,0.0,262sU4saSD8S43YMvWn9jH
254,Better,Khalid,r&b,romantic,0.65,90,0.6,0.65,0.2,50,2010,smooth|catchy|emotional,0.65,0.65,0.0,2OpBganfGk2GVdSlRdxzaX
255,Story of My Life,One Direction,pop,sad,0.7,120,0.6,0.7,0.15,50,2010,heartfelt|emotional|melancholic,0.7,0.7,0.0,4nVBt6MZDDP6tRVdQTgxJg
256,Let Go,Beau Young Prince,pop,chill,0.65,100,0.55,0.65,0.2,50,2010,laid-back|smooth|melodic,0.65,0.65,0.0,5F2AuFzEiuAQD0JVNjVJQz
257,Never Say Never,Justin Bieber,pop,chill,0.6,90,0.5,0.6,0.2,50,2010,laid-back|smooth|melodic,0.6,0.65,0.0,5GYbkDveRD2I8M5ZJ14hWn
258,Nay Yar Haung,Doublej,pop,chill,0.6,100,0.55,0.65,0.2,50,2010,laid-back|smooth|melodic,0.6,0.6,0.0,2ghipJr26AE46DI18hapeW
259,A Chit Bal Ka Sa,Phoe Kar,pop,chill,0.6,100,0.55,0.65,0.2,50,2020,laid-back|smooth|melodic,0.6,0.6,0.0,7aZjlywdyx6W5gyykB0ari
260,真っ白,Fujii Kaze,pop,chill,0.65,110,0.6,0.65,0.2,50,2020,laid-back|smooth|melodic,0.65,0.65,0.0,57UKjaYzGB8yK4EQWAeksH
261,風よ,Fujii Kaze,pop,chill,0.65,110,0.6,0.65,0.2,50,2020,laid-back|smooth|melodic,0.65,0.65,0.0,77NDAeUdOg9ODtEhbZjAb4
262,Shiver,John Summit,electronic,energetic,0.85,128,0.7,0.8,0.05,50,2020,upbeat|danceable|dynamic,0.85,0.7,0.0,32VIrOsJmwvqRm4rWFBCsi
263,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,pop,happy,0.65,98,0.75,0.78,0.1,50,2010,upbeat|catchy|fun,0.6,0.55,0.0,5o3GnrcFtvkdf3zFznuSbA
264,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,electronic,joyful,0.7,120,0.8,0.85,0.05,50,2010,uplifting|melodic|danceable,0.65,0.6,0.02,0OlnLZY4cmQzT6ZGttvWBM
265,Without You (feat. Sandro Cavazza),Avicii,electronic,energetic,0.8,128,0.7,0.82,0.03,50,2010,powerful|emotional|anthemic,0.75,0.65,0.01,6Pgkp4qUoTmJIPn7ReaGxL
266,White America,Eminem,hip-hop,intense,0.9,88,0.3,0.6,0.02,50,2000,aggressive|provocative|raw,0.85,0.9,0.0,15qrWkkYCfmtu1uRpGf48L
267,Love The Way You Lie,Eminem,hip-hop,intense,0.85,87,0.65,0.7,0.05,50,2010,dramatic|emotional|powerful,0.8,0.9,0.0,15JINEqzVMv3SvJTAXAKED
268,Homicide (feat. Eminem),Logic,hip-hop,intense,0.85,160,0.45,0.7,0.05,50,2010,aggressive|dynamic|powerful,0.8,0.75,0.0,7M2tXmeS15NAzEn7ABFeBg
269,The Way I Am,Eminem,hip-hop,motivated,0.85,90,0.6,0.75,0.05,50,2000,confident|assertive|powerful,0.8,0.9,0.0,23wfXwnsPZYe5A1xXRHb3J
270,Gnat,Eminem,hip-hop,intense,0.9,85,0.5,0.7,0.02,50,2020,aggressive|dynamic|thought-provoking,0.85,0.95,0.0,6cS9PmLky2NhLOhpIsUlow
271,In Too Deep,Eminem,hip-hop,intense,0.75,90,0.55,0.65,0.05,50,2020,driven|powerful|emotional,0.7,0.8,0.0,7Dj2wqPYXfSRFwa6qyOztr
272,Forgot About Dre,Dr. Dre,hip-hop,energetic,0.85,95,0.6,0.75,0.05,50,1990,powerful|confident|assertive,0.8,0.7,0.0,7iXF2W9vKmDoGAhlHdpyIa
273,Mockingbird,Eminem,hip-hop,sad,0.65,85,0.45,0.55,0.3,50,2000,emotional|reflective|heartfelt,0.4,0.8,0.05,561jH07mF1jHuk7KlaeF0s
274,Guilty Conscience,Eminem,hip-hop,intense,0.7,90,0.5,0.6,0.1,50,1990,dramatic|conflict|narrative,0.55,0.75,0.0,6da04YB906XonC6IQNC44u
